0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,84,0,56,23,0,0,0,0,49,0,20,45,0,0,0,0,0,0,0,65,61,0,0,89,21,0,0,0,0,0,0,0,33,57,0,30,79,0,35,40,0,85,0,0,0,38,0,0,0,0,0,0,0,0,70,39,0,0,23
84,0,0,0,65,68,92,94,67,0,0,60,0,93,0,0,0,100,0,0,30,89,28,100,7,31,0,0,0,91,0,0,0,85,4,0,0,96,0,97,19,0,17,0,37,15,0,31,0,0,0,0,84,7,0,0,35,0,92,63
0,0,0,0,0,0,0,58,0,0,54,0,88,0,48,1,13,52,50,27,0,0,0,0,100,0,0,28,0,0,5,1,33,0,0,0,1,72,46,0,89,95,0,8,0,0,69,0,31,100,0,40,22,0,74,53,0,25,4,0
56,0,0,0,44,0,0,0,0,94,0,0,88,0,0,0,0,0,0,10,48,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,9,100,61,0,92,0,0,90,0,0,35,0,41,0,0,38,0,0,0,11,9,0,0,72
23,65,0,44,0,0,37,0,0,80,0,70,0,45,0,0,0,0,0,0,65,49,89,9,24,62,0,0,0,56,0,0,0,3,70,0,0,56,0,50,26,0,49,0,66,0,0,0,0,0,0,0,0,0,0,0,25,0,0,13
0,68,0,0,0,0,38,46,87,0,0,49,0,5,0,0,0,47,0,0,0,83,67,67,38,1,43,68,69,97,0,29,0,2,22,94,0,96,0,96,46,0,78,0,76,99,0,98,0,0,79,94,68,25,0,0,12,0,20,0
0,92,0,0,37,38,0,0,19,0,0,9,0,1,0,0,0,37,0,0,0,0,58,53,0,69,0,0,0,85,0,0,0,19,10,0,0,0,0,100,0,0,40,0,54,89,0,97,0,0,0,0,0,19,0,0,58,0,0,0
0,94,58,0,0,46,0,0,44,0,28,5,7,0,25,11,79,21,80,52,0,82,0,0,65,95,0,14,0,0,71,97,90,0,79,0,80,96,65,85,45,42,36,74,0,0,65,0,39,63,0,100,28,0,68,81,32,3,61,81
0,67,0,0,0,87,19,44,0,0,0,33,0,0,0,0,14,7,0,0,0,46,47,90,62,56,50,76,5,24,0,24,0,0,48,36,0,56,0,7,65,47,28,0,0,34,0,11,0,0,25,72,24,52,59,0,28,0,22,0
49,0,0,94,80,0,0,0,0,0,0,46,50,0,0,0,0,0,0,0,63,0,0,0,24,90,0,0,0,0,0,0,0,0,0,0,20,64,68,0,54,0,42,0,0,0,83,0,0,0,0,0,0,0,0,32,5,0,0,92
0,0,54,0,0,0,0,28,0,0,0,0,24,0,34,29,98,67,84,7,0,0,0,0,44,0,0,19,0,0,60,77,75,0,0,0,50,86,53,0,87,37,0,50,0,0,75,0,2,80,0,31,0,0,18,37,0,40,0,0
20,60,0,0,70,49,9,5,33,46,0,0,0,70,0,0,0,98,0,0,23,14,77,7,89,41,0,0,0,2,0,0,0,54,9,0,0,95,0,68,63,0,35,0,70,0,0,50,0,0,0,0,66,88,0,0,69,0,55,98
45,0,88,88,0,0,0,7,0,50,24,0,0,0,94,32,0,0,22,17,72,0,0,0,10,0,0,11,0,0,6,0,33,0,0,0,100,80,73,0,62,0,0,59,0,0,21,0,81,0,0,93,0,0,0,83,8,0,0,55
0,93,0,0,45,5,1,0,0,0,0,70,0,0,0,0,0,0,0,0,0,61,34,51,0,25,0,0,0,46,0,0,0,1,25,0,0,0,0,47,0,0,61,0,80,0,0,56,0,0,0,0,0,55,0,0,73,0,0,0
0,0,48,0,0,0,0,25,0,0,34,0,94,0,0,22,17,98,96,63,0,0,0,0,98,0,0,36,0,0,88,95,8,0,0,0,15,30,89,0,59,59,0,67,0,0,0,0,28,9,0,13,0,0,0,5,0,84,0,0
0,0,1,0,0,0,0,11,0,0,29,0,32,0,22,0,38,36,76,25,0,0,0,0,89,0,0,49,0,0,72,78,38,0,0,0,0,100,28,0,0,74,0,17,0,0,42,0,99,84,0,87,0,0,88,20,0,51,0,0
0,0,13,0,0,0,0,79,14,0,98,0,0,0,17,38,0,76,89,0,0,0,0,0,0,0,37,61,41,0,0,95,31,0,0,66,0,0,0,0,0,4,0,0,0,0,0,0,0,12,0,16,20,0,19,0,0,54,48,0
0,100,52,0,0,47,37,21,7,0,67,98,0,0,98,36,76,0,41,89,0,12,58,15,29,17,71,65,93,3,0,11,0,0,6,24,0,61,0,25,22,94,90,0,0,98,63,5,0,0,51,53,97,66,31,0,4,0,4,67
0,0,50,0,0,0,0,80,0,0,84,0,22,0,96,76,89,41,0,95,0,0,0,0,74,0,0,43,0,0,45,94,29,0,0,0,97,19,10,0,10,4,0,15,0,0,74,0,62,3,0,12,0,0,0,69,0,14,0,0
0,0,27,10,0,0,0,52,0,0,7,0,17,0,63,25,0,89,95,0,0,0,0,0,80,0,0,8,0,0,93,52,7,0,0,0,33,95,93,0,79,79,0,44,0,0,18,0,44,62,0,28,0,0,0,2,0,3,0,81
